Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
Abbotsford,1/1 Mayfield St,3,h,1323191.5079713005,SP,Nelson,18/03/2017,2.5,3067.0,3.0,2.0,1.0,119.0,167.0,2005.0,Yarra City Council,-37.8082,144.9999,Northern Metropolitan,4019.0
Abbotsford,8b Park St,4,h,,PI,Biggin,22/05/2016,2.5,3067.0,,,,,,,Yarra City Council,-37.8092,144.9941,Northern Metropolitan,4019.0
Abbotsford,4/328 Johnston St,2,u,,PI,Biggin,28/05/2016,2.5,3067.0,,,,,,,Yarra City Council,,,Northern Metropolitan,4019.0
Abbotsford,22 Park St,4,h,,W,Biggin,30/07/2016,2.5,3067.0,,,,,,,Yarra City Council,-37.8084,144.9942,Northern Metropolitan,4019.0
Airport West,5 Harrington Rd,3,h,738957.8900491353,S,Brad,4/03/2017,13.5,3042.0,3.0,1.0,1.0,580.0,114.0,1960.0,Moonee Valley City Council,-37.7235,144.8736,Western Metropolitan,3464.0
Airport West,2/89 Marshall Rd,3,u,,VB,Barry,25/02/2017,13.5,3042.0,,,,,,,Moonee Valley City Council,,,Western Metropolitan,3464.0
Albert Park,14 Merton St,2,h,1679027.76018979,SP,Marshall,4/03/2017,3.3,3206.0,2.0,1.0,0.0,215.0,,1900.0,Port Phillip City Council,-37.8405,144.953,Southern Metropolitan,3280.0
Albert Park,9 Boyd St,3,h,1990197.7361856024,SN,Greg,6/08/2016,3.3,3206.0,2.0,2.0,1.0,336.0,145.0,1890.0,Port Phillip City Council,-37.8471,144.9561,Southern Metropolitan,3280.0
Albert Park,81 Richardson St,3,h,2063553.2282257455,S,Marshall,7/05/2016,3.3,3206.0,3.0,1.0,2.0,316.0,125.0,1880.0,Port Phillip City Council,-37.8449,144.9536,Southern Metropolitan,3280.0
Albert Park,5 Withers St,3,h,1667470.6297713097,SN,Marshall,10/09/2016,3.3,3206.0,3.0,1.0,0.0,126.0,88.0,1910.0,Port Phillip City Council,-37.8427,144.9515,Southern Metropolitan,3280.0
Albert Park,140 Danks St,2,h,1746283.3942486441,SP,Marshall,13/08/2016,3.3,3206.0,2.0,1.0,2.0,366.0,117.0,1900.0,Port Phillip City Council,-37.847,144.9506,Southern Metropolitan,3280.0
Albert Park,1 Herbert Pl,2,h,1528413.0761407593,S,hockingstuart,15/10/2016,3.3,3206.0,2.0,1.0,1.0,152.0,,,Port Phillip City Council,-37.8437,144.959,Southern Metropolitan,3280.0
Albert Park,28 Dinsdale St,4,h,2019099.4558548687,S,Marshall,17/09/2016,3.3,3206.0,3.0,1.0,0.0,236.0,,,Port Phillip City Council,-37.8454,144.9521,Southern Metropolitan,3280.0
Albert Park,90 Danks St,3,h,2111129.155412307,S,Marshall,18/03/2017,3.3,3206.0,3.0,1.0,2.0,300.0,,,Port Phillip City Council,-37.8457,144.9479,Southern Metropolitan,3280.0
Albert Park,36 Ashworth St,3,h,1855235.2750240844,SP,Marshall,18/06/2016,3.3,3206.0,3.0,1.0,0.0,173.0,,,Port Phillip City Council,-37.8482,144.9513,Southern Metropolitan,3280.0
Albert Park,18 Herbert St,3,h,1624878.277397722,SN,Cayzer,19/11/2016,3.3,3206.0,3.0,1.0,0.0,169.0,,,Port Phillip City Council,-37.8448,144.9578,Southern Metropolitan,3280.0
Albert Park,9 Merton Pl,3,h,1810394.5903678176,SP,Marshall,22/05/2016,3.3,3206.0,3.0,2.0,1.0,122.0,,,Port Phillip City Council,-37.845,144.9545,Southern Metropolitan,3280.0
Albert Park,16 Dinsdale St,3,h,2076541.9299123213,S,Greg,24/09/2016,3.3,3206.0,3.0,2.0,1.0,241.0,119.0,1990.0,Port Phillip City Council,-37.8452,144.9518,Southern Metropolitan,3280.0
Albert Park,51 Graham St,2,h,1847792.78290295,PI,Marshall,24/09/2016,3.3,3206.0,2.0,2.0,1.0,225.0,,,Port Phillip City Council,-37.8441,144.9479,Southern Metropolitan,3280.0
Albert Park,143 Kerferd Rd,7,h,,SN,hockingstuart,24/09/2016,3.3,3206.0,7.0,7.0,0.0,435.0,,,Port Phillip City Council,-37.8473,144.9539,Southern Metropolitan,3280.0
Albert Park,7 Herbert Pl,2,h,1335357.8333360057,SP,Marshall,28/05/2016,3.3,3206.0,2.0,1.0,0.0,99.0,65.0,1900.0,Port Phillip City Council,-37.8438,144.9588,Southern Metropolitan,3280.0
Albert Park,8 Kerferd Pl,4,h,2192576.627831004,SP,Marshall,28/05/2016,3.3,3206.0,4.0,2.0,0.0,230.0,185.0,1900.0,Port Phillip City Council,-37.842,144.958,Southern Metropolitan,3280.0
Albert Park,5 Reed St,3,h,1823217.0553091979,SN,Greg,28/05/2016,3.3,3206.0,3.0,2.0,1.0,141.0,,,Port Phillip City Council,-37.8446,144.945,Southern Metropolitan,3280.0
Alphington,30 Austin St,3,h,1150050.2143760077,SN,McGrath,3/09/2016,6.4,3078.0,3.0,2.0,1.0,174.0,122.0,2003.0,Darebin City Council,-37.7818,145.0198,Northern Metropolitan,2211.0
Alphington,4 Tuckett St,3,h,1534701.512979211,S,Jellis,7/05/2016,6.4,3078.0,3.0,1.0,3.0,922.0,,,Darebin City Council,-37.7812,145.0235,Northern Metropolitan,2211.0
Alphington,29 Alphington St,5,h,,S,Collins,12/11/2016,6.4,3078.0,5.0,3.0,4.0,743.0,,1915.0,Darebin City Council,-37.7845,145.0208,Northern Metropolitan,2211.0
Alphington,4/5 Chandler Hwy,4,t,,PN,Nelson,13/08/2016,6.4,3078.0,,,,,,,Darebin City Council,,,Northern Metropolitan,2211.0
Alphington,11 Tower Av,4,h,,S,Jellis,16/04/2016,6.4,3078.0,,,,,,,Darebin City Council,,,Northern Metropolitan,2211.0
Alphington,29 Naroon Rd,4,h,1720898.191496549,SP,Jellis,25/02/2017,6.4,3078.0,4.0,2.0,2.0,597.0,,,Darebin City Council,-37.7765,145.0283,Northern Metropolitan,2211.0
Alphington,21 Como St,5,h,1554848.3087438752,SN,Nelson,28/08/2016,6.4,3078.0,5.0,2.0,2.0,552.0,211.0,1916.0,Darebin City Council,-37.7829,145.0337,Northern Metropolitan,2211.0
Altona,95 Blyth St,4,h,849906.2341771048,SN,hockingstuart,25/02/2017,13.8,3018.0,4.0,2.0,3.0,504.0,,,Hobsons Bay City Council,-37.8677,144.8252,Western Metropolitan,5301.0
Altona,2/5 Rose St,2,u,443954.6269029529,PI,Point,25/02/2017,13.8,3018.0,2.0,1.0,1.0,117.0,58.0,1980.0,Hobsons Bay City Council,-37.871,144.8185,Western Metropolitan,5301.0
Altona North,1 Beuron Rd,3,h,841170.1194200593,SP,Williams,3/09/2016,11.1,3025.0,3.0,1.0,1.0,620.0,108.0,1950.0,Hobsons Bay City Council,-37.829,144.848,Western Metropolitan,5132.0
Altona North,1/70 Misten Av,2,h,,S,hockingstuart,4/03/2017,11.1,3025.0,,,,,,,Hobsons Bay City Council,,,Western Metropolitan,5132.0
Altona North,47 Ginifer Av,3,h,,SN,Barry,4/06/2016,11.1,3025.0,,,,,,,Hobsons Bay City Council,,,Western Metropolitan,5132.0
Altona North,29a The Broadway,4,t,,PN,Williams,7/11/2016,11.1,3025.0,,,,,,,Hobsons Bay City Council,,,Western Metropolitan,5132.0
Altona North,45 Freemans Rd,4,h,,PN,hockingstuart,10/12/2016,11.1,3025.0,4.0,2.0,5.0,537.0,196.0,1960.0,Hobsons Bay City Council,-37.8261,144.8391,Western Metropolitan,5132.0
Altona North,63a First Av,3,h,,PI,RT,13/08/2016,11.1,3025.0,,,,,,,Hobsons Bay City Council,,,Western Metropolitan,5132.0
Altona North,59 Misten Av,2,h,,PI,Greg,13/08/2016,11.1,3025.0,,,,,,,Hobsons Bay City Council,,,Western Metropolitan,5132.0
Altona North,4/63 Marion St,1,u,257874.00732228224,PI,hockingstuart,19/11/2016,11.1,3025.0,1.0,1.0,1.0,0.0,46.0,1970.0,Hobsons Bay City Council,-37.8355,144.853,Western Metropolitan,5132.0
Altona North,29 Cyclamen Av,2,h,,PI,Jas,25/02/2017,11.1,3025.0,,,,,,,Hobsons Bay City Council,,,Western Metropolitan,5132.0
Altona North,1/8 Fourth Av,3,h,,PI,Hunter,27/11/2016,11.1,3025.0,,,,,,,Hobsons Bay City Council,,,Western Metropolitan,5132.0
Armadale,24 Hume St,3,h,1422762.9216807093,S,RT,3/09/2016,6.3,3143.0,2.0,1.0,1.0,305.0,,,Stonnington City Council,-37.8573,145.0226,Southern Metropolitan,4836.0
Armadale,12 Huntingtower Rd,3,h,2103283.0375637226,S,Jellis,3/12/2016,6.3,3143.0,3.0,2.0,2.0,588.0,168.0,1930.0,Stonnington City Council,-37.8546,145.0245,Southern Metropolitan,4836.0
Armadale,6 Cambridge St,4,h,1656514.2671629337,SN,Thomson,4/03/2017,6.3,3143.0,4.0,2.0,1.0,211.0,,,Stonnington City Council,-37.859,145.0172,Southern Metropolitan,4836.0
Armadale,6 Fulton St,2,h,1203486.7636048978,PI,Marshall,4/03/2017,6.3,3143.0,2.0,1.0,1.0,183.0,,,Stonnington City Council,-37.8538,145.0123,Southern Metropolitan,4836.0
Armadale,21 Lambeth Av,3,h,,S,Jellis,4/03/2017,6.3,3143.0,,,,,,,Stonnington City Council,,,Southern Metropolitan,4836.0
Armadale,7/53 Wattletree Rd,1,u,404032.9209904971,SP,hockingstuart,4/03/2017,6.3,3143.0,1.0,1.0,0.0,881.0,,,Stonnington City Council,-37.8614,145.0222,Southern Metropolitan,4836.0
Armadale,12 Alleyne Av,4,h,,S,RT,4/06/2016,6.3,3143.0,,,,,,,Stonnington City Council,,,Southern Metropolitan,4836.0
Armadale,3/10 Denbigh Rd,2,u,552783.8096468798,SP,hockingstuart,4/06/2016,6.3,3143.0,2.0,1.0,1.0,0.0,65.0,1970.0,Stonnington City Council,-37.8596,145.0156,Southern Metropolitan,4836.0
Armadale,17 Egerton Rd,4,h,1906146.5238312623,S,Marshall,7/05/2016,6.3,3143.0,4.0,1.0,2.0,500.0,,,Stonnington City Council,-37.8623,145.0223,Southern Metropolitan,4836.0
Armadale,557 Orrong Rd,4,h,2079477.051717187,S,Jellis,7/05/2016,6.3,3143.0,4.0,2.0,2.0,369.0,176.0,1930.0,Stonnington City Council,-37.8548,145.0113,Southern Metropolitan,4836.0
Armadale,5/68 Rose St,3,t,1362201.4291220303,S,Jellis,7/05/2016,6.3,3143.0,2.0,2.0,1.0,175.0,158.0,1970.0,Stonnington City Council,-37.8515,145.02,Southern Metropolitan,4836.0
Armadale,11/38 Wattletree Rd,2,u,603248.0286765494,S,hockingstuart,7/05/2016,6.3,3143.0,2.0,1.0,1.0,0.0,65.0,1970.0,Stonnington City Council,-37.8613,145.0184,Southern Metropolitan,4836.0
Armadale,24 Lambeth Av,5,h,,S,Marshall,7/11/2016,6.3,3143.0,,,,,,,Stonnington City Council,,,Southern Metropolitan,4836.0
Armadale,11 Adelaide St,4,h,,SN,hockingstuart,10/09/2016,6.3,3143.0,3.0,4.0,2.0,662.0,292.0,1920.0,Stonnington City Council,-37.8549,145.0276,Southern Metropolitan,4836.0
Armadale,54 Denbigh Rd,4,h,2084293.6156933769,SP,Jellis,10/12/2016,6.3,3143.0,4.0,2.0,2.0,551.0,208.0,1890.0,Stonnington City Council,-37.8566,145.0161,Southern Metropolitan,4836.0
Armadale,47 Northcote Rd,3,h,1768668.7021639328,SP,Jellis,10/12/2016,6.3,3143.0,3.0,2.0,0.0,246.0,204.0,1890.0,Stonnington City Council,-37.8533,145.0169,Southern Metropolitan,4836.0
Armadale,6A Munro St,3,h,1782963.6055193704,S,Jellis,12/11/2016,6.3,3143.0,3.0,2.0,1.0,242.0,143.0,1915.0,Stonnington City Council,-37.8534,145.0185,Southern Metropolitan,4836.0
Armadale,7/17 Myamyn St,3,u,1114270.642109202,SP,Marshall,13/08/2016,6.3,3143.0,3.0,2.0,3.0,0.0,203.0,2006.0,Stonnington City Council,-37.8555,145.0291,Southern Metropolitan,4836.0
Armadale,595 Orrong Rd,3,h,1779676.2669312735,S,Jellis,13/08/2016,6.3,3143.0,2.0,2.0,2.0,292.0,146.0,1910.0,Stonnington City Council,-37.8523,145.0116,Southern Metropolitan,4836.0
Armadale,3 Wattletree Rd,3,h,1714013.425761521,SN,Gary,14/05/2016,6.3,3143.0,3.0,2.0,1.0,482.0,182.0,1930.0,Stonnington City Council,-37.8606,145.0157,Southern Metropolitan,4836.0
Armadale,2b Denbigh Rd,3,h,1779949.3706407284,S,Jellis,15/10/2016,6.3,3143.0,3.0,2.0,1.0,228.0,111.0,1915.0,Stonnington City Council,-37.8603,145.0155,Southern Metropolitan,4836.0
Armadale,22 Lambeth Av,4,h,,SN,hockingstuart,15/10/2016,6.3,3143.0,,,,,,,Stonnington City Council,,,Southern Metropolitan,4836.0
Armadale,5 Alleyne Av,4,h,,S,Jellis,16/04/2016,6.3,3143.0,,,,,,,Stonnington City Council,,,Southern Metropolitan,4836.0
Armadale,19 Sutherland Rd,3,h,1650171.748623316,S,Marshall,16/04/2016,6.3,3143.0,3.0,1.0,2.0,451.0,,,Stonnington City Council,-37.8593,145.0167,Southern Metropolitan,4836.0
Armadale,17/579 Dandenong Rd,2,u,585246.7890143098,S,hockingstuart,16/07/2016,6.3,3143.0,2.0,1.0,1.0,0.0,80.0,1966.0,Stonnington City Council,-37.8646,145.0247,Southern Metropolitan,4836.0
Armadale,11/26 Gladstone Av,2,u,,S,hockingstuart,16/07/2016,6.3,3143.0,,,,,,,Stonnington City Council,,,Southern Metropolitan,4836.0
Armadale,2/1 Munro St,3,u,,SP,Marshall,16/07/2016,6.3,3143.0,3.0,1.0,4.0,0.0,,,Stonnington City Council,-37.853,145.0181,Southern Metropolitan,4836.0
Armadale,1 Cambridge St,2,h,1414685.227309164,S,Jellis,17/09/2016,6.3,3143.0,3.0,1.0,2.0,230.0,,1888.0,Stonnington City Council,-37.8593,145.017,Southern Metropolitan,4836.0
Armadale,10 Egerton Rd,4,h,1883615.7160310554,S,Jellis,17/09/2016,6.3,3143.0,2.0,2.0,2.0,449.0,232.0,1900.0,Stonnington City Council,-37.8628,145.0226,Southern Metropolitan,4836.0
Armadale,5/8 Sutherland Rd,2,u,,SP,hockingstuart,18/03/2017,6.3,3143.0,,,,,,,Stonnington City Council,,,Southern Metropolitan,4836.0
Armadale,5/92 Wattletree Rd,2,u,605782.2389485381,SN,Thomson,18/03/2017,6.3,3143.0,2.0,1.0,1.0,734.0,,2006.0,Stonnington City Council,-37.8623,145.0262,Southern Metropolitan,4836.0
Armadale,1/13 Denbigh Rd,3,t,1171567.7857051657,PI,Marshall,18/06/2016,6.3,3143.0,3.0,2.0,2.0,0.0,135.0,1998.0,Stonnington City Council,-37.859,145.0153,Southern Metropolitan,4836.0
Armadale,9/38 Northcote Rd,2,u,596891.8668826674,SP,Jellis,18/06/2016,6.3,3143.0,2.0,1.0,1.0,0.0,67.0,1970.0,Stonnington City Council,-37.8531,145.0173,Southern Metropolitan,4836.0
Armadale,30 Barkly Av,4,h,,S,Jellis,19/11/2016,6.3,3143.0,,,,,,,Stonnington City Council,,,Southern Metropolitan,4836.0
Armadale,5/31 Inverness Av,2,u,,S,Jellis,19/11/2016,6.3,3143.0,,,,,,,Stonnington City Council,,,Southern Metropolitan,4836.0
Armadale,1 Derby St,3,h,1472513.7189132231,S,Marshall,22/05/2016,6.3,3143.0,3.0,2.0,2.0,0.0,,,Stonnington City Council,-37.8512,145.0207,Southern Metropolitan,4836.0
Armadale,5/2 Mercer Rd,3,t,1163326.9892670456,S,Kay,22/05/2016,6.3,3143.0,2.0,3.0,2.0,0.0,,,Stonnington City Council,-37.8557,145.0264,Southern Metropolitan,4836.0
Armadale,9/60 Wattletree Rd,2,u,810764.3630843769,S,hockingstuart,22/05/2016,6.3,3143.0,2.0,2.0,1.0,2659.0,,,Stonnington City Council,-37.8616,145.0211,Southern Metropolitan,4836.0
Armadale,12 Baldwin St,3,h,1227904.2857808438,SP,Marshall,23/04/2016,6.3,3143.0,2.0,1.0,0.0,151.0,80.0,1880.0,Stonnington City Council,-37.8549,145.0219,Southern Metropolitan,4836.0
Armadale,15 Sutherland Rd,3,h,1895318.3679117179,SN,Kay,25/02/2017,6.3,3143.0,3.0,2.0,2.0,459.0,180.0,1890.0,Stonnington City Council,-37.8595,145.0166,Southern Metropolitan,4836.0
Armadale,30 Willis St,3,h,1468499.0786060875,VB,Marshall,25/02/2017,6.3,3143.0,3.0,1.0,2.0,251.0,149.0,1920.0,Stonnington City Council,-37.8572,145.0275,Southern Metropolitan,4836.0
Armadale,1/770 Malvern Rd,2,u,589981.092014823,S,hockingstuart,26/07/2016,6.3,3143.0,2.0,1.0,1.0,0.0,,,Stonnington City Council,-37.8498,145.0145,Southern Metropolitan,4836.0
Armadale,3 Alleyne Av,4,h,,S,Jellis,27/11/2016,6.3,3143.0,,,,,,,Stonnington City Council,,,Southern Metropolitan,4836.0
Armadale,4/38 Northcote Rd,2,u,608228.1887370528,S,hockingstuart,27/11/2016,6.3,3143.0,2.0,1.0,1.0,0.0,,,Stonnington City Council,-37.8531,145.0173,Southern Metropolitan,4836.0
Armadale,4/576 Orrong Rd,2,u,640339.3880081403,SN,Kay,27/11/2016,6.3,3143.0,2.0,1.0,2.0,0.0,112.0,2012.0,Stonnington City Council,-37.8539,145.0119,Southern Metropolitan,4836.0
Armadale,896 Malvern Rd,3,h,1361554.592771662,S,Kay,28/05/2016,6.3,3143.0,3.0,3.0,1.0,0.0,,,Stonnington City Council,-37.8505,145.0205,Southern Metropolitan,4836.0
Armadale,8 Derby St,3,h,1671726.9744941478,SP,Marshall,28/08/2016,6.3,3143.0,3.0,2.0,1.0,196.0,155.0,1990.0,Stonnington City Council,-37.8509,145.0208,Southern Metropolitan,4836.0
Armadale,1/6 Elm Gr,2,u,,S,hockingstuart,28/08/2016,6.3,3143.0,2.0,1.0,4.0,0.0,,,Stonnington City Council,-37.8525,145.0159,Southern Metropolitan,4836.0
Armadale,11 Egerton Rd,2,h,1233451.793619208,SN,hockingstuart,30/07/2016,6.3,3143.0,3.0,1.0,1.0,266.0,,,Stonnington City Council,-37.8626,145.0222,Southern Metropolitan,4836.0
Ascot Vale,24 Ayr St,3,h,1105377.8814444195,S,Jellis,3/09/2016,5.9,3032.0,3.0,1.0,2.0,305.0,135.0,1910.0,Moonee Valley City Council,-37.7799,144.9296,Western Metropolitan,6567.0
Ascot Vale,47 Union Rd,3,h,1048757.2797220089,S,Brad,3/12/2016,5.9,3032.0,3.0,1.0,2.0,271.0,111.0,1900.0,Moonee Valley City Council,-37.7783,144.9149,Western Metropolitan,6567.0
Ascot Vale,4 West St,3,h,1214753.741178404,S,Jellis,7/05/2016,5.9,3032.0,3.0,2.0,2.0,252.0,125.0,1920.0,Moonee Valley City Council,-37.7774,144.924,Western Metropolitan,6567.0
Ascot Vale,70 Bloomfield Rd,4,h,1206115.0042447548,S,Brad,8/10/2016,5.9,3032.0,3.0,1.0,2.0,398.0,,,Moonee Valley City Council,-37.7761,144.9166,Western Metropolitan,6567.0
Ascot Vale,13 Wigton St,4,h,1297782.744927099,S,Nelson,10/12/2016,5.9,3032.0,4.0,1.0,2.0,462.0,170.0,1910.0,Moonee Valley City Council,-37.7795,144.929,Western Metropolitan,6567.0
Ascot Vale,13 Fisher Pde,4,h,1729719.3857156653,S,Rendina,12/11/2016,5.9,3032.0,4.0,2.0,3.0,950.0,177.0,1950.0,Moonee Valley City Council,-37.7855,144.905,Western Metropolitan,6567.0
Ascot Vale,14 Ormond Rd,6,h,1798344.4875226289,S,Rendina,19/11/2016,5.9,3032.0,6.0,2.0,3.0,833.0,411.0,1910.0,Moonee Valley City Council,-37.7729,144.9291,Western Metropolitan,6567.0
Ascot Vale,96 The Parade,4,h,,S,Raine,22/05/2016,5.9,3032.0,4.0,3.0,4.0,487.0,402.0,1940.0,Moonee Valley City Council,-37.7724,144.9136,Western Metropolitan,6567.0
Ascot Vale,72 Kent St,3,h,1121345.9538453068,S,Brad,23/04/2016,5.9,3032.0,3.0,2.0,2.0,298.0,132.0,1890.0,Moonee Valley City Council,-37.78,144.9247,Western Metropolitan,6567.0
Ascot Vale,57 Bloomfield Rd,3,h,982309.4672237803,SP,Alexkarbon,25/02/2017,5.9,3032.0,3.0,1.0,1.0,206.0,115.0,1900.0,Moonee Valley City Council,-37.7765,144.9177,Western Metropolitan,6567.0
Ashburton,7A Wirraway Ct,3,h,1277794.546408406,S,Buxton,4/02/2016,11.0,3147.0,3.0,1.0,1.0,370.0,100.0,1950.0,Boroondara City Council,-37.8675,145.0895,Southern Metropolitan,3052.0
Ashburton,15 Lancaster St,4,h,,SP,Fletchers,7/05/2016,11.0,3147.0,,,,,,,Boroondara City Council,,,Southern Metropolitan,3052.0
Ashburton,1/4 Taylor St,2,h,,VB,Jellis,7/11/2016,11.0,3147.0,,,,,,,Boroondara City Council,,,Southern Metropolitan,3052.0
Ashburton,60 Nicholas St,3,h,1682832.4791974179,SP,Marshall,10/12/2016,11.0,3147.0,3.0,1.0,2.0,699.0,,,Boroondara City Council,-37.873,145.0751,Southern Metropolitan,3052.0
Ashburton,76 Nicholas St,3,h,1744972.8301015364,S,Marshall,10/12/2016,11.0,3147.0,3.0,1.0,2.0,697.0,163.0,1962.0,Boroondara City Council,-37.8738,145.0741,Southern Metropolitan,3052.0
Ashburton,8 Ryland St,4,h,1537648.3060865148,SN,Tim,12/11/2016,11.0,3147.0,4.0,2.0,2.0,513.0,160.0,1950.0,Boroondara City Council,-37.861,145.0806,Southern Metropolitan,3052.0
Ashburton,2 Maxwell St,2,h,1528981.004620181,S,Marshall,14/05/2016,11.0,3147.0,3.0,1.0,2.0,690.0,,,Boroondara City Council,-37.8689,145.069,Southern Metropolitan,3052.0
Ashburton,11a Ambon St,3,h,1426309.5464453772,S,Jellis,16/04/2016,11.0,3147.0,3.0,2.0,1.0,404.0,398.0,2010.0,Boroondara City Council,-37.8696,145.0811,Southern Metropolitan,3052.0
Ashburton,24 Fakenham Rd,3,h,1742831.6183842088,S,Marshall,16/04/2016,11.0,3147.0,3.0,2.0,2.0,650.0,,,Boroondara City Council,-37.8628,145.0884,Southern Metropolitan,3052.0
Ashburton,8 Glen Rd,3,h,1712518.2402833404,S,Fletchers,18/03/2017,11.0,3147.0,3.0,2.0,2.0,696.0,,,Boroondara City Council,-37.8742,145.0699,Southern Metropolitan,3052.0
Ashburton,11 Munro Av,4,h,,S,Fletchers,18/03/2017,11.0,3147.0,,,,,,,Boroondara City Council,,,Southern Metropolitan,3052.0
Ashburton,46 Nicholas St,2,h,1622852.338305319,S,Marshall,18/03/2017,11.0,3147.0,2.0,1.0,2.0,697.0,,,Boroondara City Council,-37.8723,145.0759,Southern Metropolitan,3052.0
Ashburton,20 Gloucester Rd,3,h,1748011.365025424,S,Marshall,18/06/2016,11.0,3147.0,3.0,2.0,2.0,591.0,142.0,1960.0,Boroondara City Council,-37.8666,145.0883,Southern Metropolitan,3052.0
Ashburton,14 Gloucester Rd,4,h,1502627.5648491664,PI,Buxton/Marshall,22/08/2016,11.0,3147.0,4.0,3.0,1.0,310.0,180.0,2016.0,Boroondara City Council,-37.866,145.0884,Southern Metropolitan,3052.0
Ashburton,19 Lancaster St,3,h,,S,Marshall,22/08/2016,11.0,3147.0,,,,,,,Boroondara City Council,,,Southern Metropolitan,3052.0
Ashburton,460 Warrigal Rd,2,h,1350219.5863897684,SP,Buxton,22/08/2016,11.0,3147.0,2.0,1.0,2.0,672.0,,,Boroondara City Council,-37.8693,145.092,Southern Metropolitan,3052.0
Ashburton,30 Glen Rd,4,h,,S,Fletchers,25/02/2017,11.0,3147.0,,,,,,,Boroondara City Council,,,Southern Metropolitan,3052.0
Ashburton,23 Johnston St,4,h,1772547.55220977,SN,RT,25/02/2017,11.0,3147.0,4.0,2.0,2.0,703.0,197.0,1927.0,Boroondara City Council,-37.8599,145.0765,Southern Metropolitan,3052.0
Ashburton,2/43 Warner Av,3,t,,SP,Marshall,25/02/2017,11.0,3147.0,,,,,,,Boroondara City Council,,,Southern Metropolitan,3052.0
Ashburton,54 Baker Pde,3,h,1819404.5853703362,S,Marshall,28/05/2016,11.0,3147.0,3.0,1.0,2.0,752.0,,1948.0,Boroondara City Council,-37.8614,145.0926,Southern Metropolitan,3052.0
Ashwood,1/14 Eildon Rd,3,h,1002758.8953993925,SP,Jellis,3/09/2016,12.2,3147.0,3.0,1.0,2.0,343.0,,1960.0,Monash City Council,-37.8623,145.1098,Southern Metropolitan,2894.0
Ashwood,12 Beechwood Tce,3,t,996274.550090984,SN,Ray,3/12/2016,12.2,3147.0,3.0,2.0,2.0,375.0,,,Monash City Council,-37.8647,145.1016,Southern Metropolitan,2894.0
Ashwood,4 Mitchell Av,3,h,,SP,Buxton,4/02/2016,12.2,3147.0,,,,,,,Monash City Council,,,Southern Metropolitan,2894.0
Ashwood,11 Scenic Dr,4,h,1471079.9468756253,S,Jellis,6/08/2016,12.2,3147.0,4.0,2.0,3.0,675.0,302.0,2000.0,Monash City Council,-37.8639,145.1021,Southern Metropolitan,2894.0
Ashwood,9 Reid St,3,h,1337839.0687645748,SP,Buxton,10/12/2016,12.2,3147.0,3.0,1.0,2.0,981.0,,,Monash City Council,-37.868,145.0942,Southern Metropolitan,2894.0
